ano_lancamento,mes_seno,mes_cos,duracao,orcamento,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,log_receita
2012,-0.8660254037844384,-0.5000000000000004,117,7911023.8,8.041666666666664,7.449999999999999,8.1,7.449999999999999,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,17.2306192174143
2021,-2.4492935982947064e-16,1.0,155,165000000.0,7.491331569664903,7.890000000000001,7.800000000000001,7.890000000000001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.78619771735146
2021,-2.4492935982947064e-16,1.0,155,45000000.0,7.491331569664903,7.890000000000001,7.800000000000001,7.890000000000001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.12982350003445
2021,-2.4492935982947064e-16,1.0,155,165000000.0,7.813271604938271,7.890000000000001,8.0,7.890000000000001,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.78619771735146
2021,-2.4492935982947064e-16,1.0,155,45000000.0,7.813271604938271,7.890000000000001,8.0,7.890000000000001,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.12982350003445
2017,-0.8660254037844386,0.5000000000000001,164,185000000.0,7.3000653594771245,7.890000000000001,8.0,7.890000000000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.164664224656498
2010,0.49999999999999994,0.8660254037844387,108,13000000.0,7.551111111111112,7.166666666666667,8.0,7.166666666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18.91039858622171
2016,-0.5000000000000004,0.8660254037844384,128,20000000.0,7.528940696649029,7.725,8.0,7.725,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,19.626468261758014
2014,-0.8660254037844384,-0.5000000000000004,121,170000000.0,7.049215167548501,7.6000000000000005,7.026666666666666,7.6000000000000005,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.98681220522852
2015,0.49999999999999994,0.8660254037844387,156,135000000.0,7.638624338624339,7.85,8.0,7.85,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,19.72235266289982
2013,0.49999999999999994,0.8660254037844387,126,23000000.0,7.036474358974359,8.0,6.840769230769231,8.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17.151134403513442
2021,-0.8660254037844384,-0.5000000000000004,111,10000000.0,7.5435185185185185,8.0,8.0,8.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14.620922465170747
2015,-1.0,-1.8369701987210297e-16,144,108000000.0,7.212268518518518,6.753846153846154,6.9875,6.753846153846154,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.926456478579045
2016,0.8660254037844386,0.5000000000000001,108,58000000.0,7.25809422059422,7.1,7.425,7.1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20.207271267754855
2014,-2.4492935982947064e-16,1.0,114,15000000.0,7.573054954304954,7.333333333333333,8.0,7.333333333333333,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,18.765672860828342
2012,0.8660254037844387,-0.4999999999999998,143,225000000.0,7.312349240265907,7.716666666666666,7.470000000000001,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.545420574317056
2012,0.8660254037844387,-0.4999999999999998,143,60000000.0,7.312349240265907,7.716666666666666,7.470000000000001,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.105507116254756
2012,-0.5000000000000004,0.8660254037844384,143,225000000.0,7.371388888888889,7.716666666666666,7.383333333333333,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,20.545420574317056
2012,-0.5000000000000004,0.8660254037844384,143,60000000.0,7.371388888888889,7.716666666666666,7.383333333333333,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,17.105507116254756
2010,-2.4492935982947064e-16,1.0,118,15000000.0,7.40640522875817,7.525,7.325,7.525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.133851596148727
2016,1.0,6.123233995736766e-17,108,150000000.0,7.494097222222221,7.633333333333333,8.0,7.7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,20.4556982505569
2016,0.49999999999999994,0.8660254037844387,106,4000000.0,7.611111111111111,7.5,8.0,7.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.94668080241337
2020,-2.4492935982947064e-16,1.0,100,150000000.0,7.601507936507937,8.025,8.0,8.025,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,18.64481053904349
2016,0.49999999999999994,0.8660254037844387,118,12000000.0,7.53425925925926,6.95,8.0,6.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.550220688971308
2014,-1.0,-1.8369701987210297e-16,139,4900000.0,7.457222222222222,7.4,8.0,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.203532517835672
2020,-2.4492935982947064e-16,1.0,103,11250000.0,7.806805555555556,8.0,8.0,8.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,14.905258598560609
2011,-1.0,-1.8369701987210297e-16,125,2200000.0,7.977777777777778,8.0,8.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61317291775617
2013,1.2246467991473532e-16,-1.0,137,49300000.0,7.966666666666667,8.0,8.0,8.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.472232827780736
2014,0.8660254037844386,0.5000000000000001,93,16311197.0,7.898124999999999,8.0,8.0,8.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13.185567934673427
2018,-0.8660254037844386,0.5000000000000001,109,8234023.8,7.825,0.0,8.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17.160478584932513
2023,-0.4999999999999997,-0.8660254037844388,163,290000000.0,7.204516369047619,7.5,7.275,7.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14.136193398730416
2016,-0.5000000000000004,0.8660254037844384,116,47000000.0,7.529629629629631,7.890000000000001,7.9,7.890000000000001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.857481626393277
2019,-0.5000000000000004,0.8660254037844384,130,40000000.0,7.330410052910054,7.65,7.6,7.65,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19.430361938554494
2018,-0.5000000000000004,0.8660254037844384,134,55000000.0,7.538981481481481,7.25,7.9,7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20.42398200086071
2014,1.2246467991473532e-16,-1.0,113,178000000.0,7.556835317460318,6.5,7.9,6.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.244717188482593
2017,-0.8660254037844386,0.5000000000000001,130,180000000.0,7.215219610636278,7.45,7.2700000000000005,7.45,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,20.35430055094571
2021,1.0,6.123233995736766e-17,242,70000000.0,6.899623015873017,6.614285714285714,6.767857142857143,6.614285714285714,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,18.732825408883382
2019,-2.4492935982947064e-16,1.0,108,14000000.0,7.305555555555555,7.45,7.9,7.45,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18.148987971479098
2012,-0.5000000000000004,0.8660254037844384,103,13000000.0,6.700555555555556,7.3,6.683333333333334,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.720789162953743
2014,0.49999999999999994,-0.8660254037844387,132,200000000.0,6.973901515151516,7.25,7.111363636363636,7.25,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.956495884229938
2017,-0.5000000000000004,0.8660254037844384,113,20000000.0,7.4921296296296305,7.3,7.9,7.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.347725141651356
2013,0.8660254037844386,0.5000000000000001,117,5000000.0,7.273335368335369,7.333333333333333,7.716666666666667,7.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.38350752347096
2019,-0.5000000000000004,0.8660254037844384,137,18000000.0,7.066212121212121,6.375,6.970909090909091,6.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.549609468094012
2012,0.49999999999999994,0.8660254037844387,127,120000000.0,7.820370370370371,6.6000000000000005,7.9,6.6000000000000005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.650790261972737
2014,-1.0,-1.8369701987210297e-16,165,4000000.0,7.525396825396827,7.2,7.9,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38710654299965
2016,1.0,6.123233995736766e-17,106,4000000.0,7.525648148148148,7.65,7.9,7.65,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,16.157354678116306
2014,1.0,6.123233995736766e-17,150,4500000.0,7.702941176470589,7.1,7.9,7.1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.221320694866058
2018,-2.4492935982947064e-16,1.0,121,102460000.0,7.747222222222224,7.550000000000001,7.9,7.550000000000001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55954625873294
2019,-0.8660254037844386,0.5000000000000001,113,76400000.0,7.900000000000001,6.166666666666667,7.9,6.166666666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.163333336011842
2019,-2.4492935982947064e-16,1.0,113,117740000.0,7.73925925925926,6.166666666666667,7.9,6.166666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.32050587085061
2011,-2.4492935982947064e-16,1.0,100,16000000.0,7.3886111111111115,7.9,7.8500000000000005,7.9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18.01600113975521
2022,-0.8660254037844384,-0.5000000000000004,165,26523270.6,7.750000000000002,7.9,7.9,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.635774167385096
2010,0.8660254037844386,0.5000000000000001,165,12000000.0,7.800000000000001,7.9,7.9,7.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.85333361684205
2012,-0.8660254037844386,0.5000000000000001,127,9700000.0,7.700000000000001,7.9,7.9,7.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.827329430654526
2017,-0.8660254037844384,-0.5000000000000004,137,12820005.0,7.640740740740741,7.9,7.9,7.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.01433695723627
2023,1.0,6.123233995736766e-17,169,100000000.0,7.068070162408398,7.533333333333334,7.07375,7.533333333333334,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19.78265214109786
2022,1.0,6.123233995736766e-17,176,200000000.0,7.241574074074074,7.475,7.5,7.475,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20.518994563986357
2022,0.8660254037844387,-0.4999999999999998,139,25000000.0,7.29425925925926,7.35,7.8,7.35,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18.621448146537073
2019,0.49999999999999994,0.8660254037844387,113,22000000.0,7.234860361373519,7.054545454545454,7.1,7.054545454545454,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18.413216305093737
2015,0.49999999999999994,0.8660254037844387,130,28000000.0,7.343705106621774,7.05,7.605555555555556,7.05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.335519080891984
2017,0.49999999999999994,-0.8660254037844387,104,5000000.0,7.268225308641977,7.133333333333333,7.275,7.133333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19.13910495879951
2016,-2.4492935982947064e-16,1.0,133,200000000.0,7.451923076923077,6.575,7.8,6.575,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.506858701436915
2011,-0.8660254037844386,0.5000000000000001,100,15000000.0,7.20020061728395,6.949999999999999,7.355555555555556,6.949999999999999,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17.562043680863347
2019,0.49999999999999994,0.8660254037844387,135,42000000.0,7.39457190957191,7.542857142857143,7.6125,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19.072815789474973
2019,0.49999999999999994,0.8660254037844387,135,15000000.0,7.39457190957191,7.542857142857143,7.6125,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.59657135880415
2019,-2.4492935982947064e-16,1.0,135,42000000.0,7.52844276094276,7.542857142857143,7.8,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.072815789474973
2019,-2.4492935982947064e-16,1.0,135,15000000.0,7.52844276094276,7.542857142857143,7.8,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.59657135880415
2013,-0.8660254037844386,0.5000000000000001,123,12000000.0,7.326097883597884,7.8,7.616666666666667,7.8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17.7211863748222
2019,-0.5000000000000004,0.8660254037844384,209,159000000.0,7.365049019607843,7.779999999999999,7.8,7.779999999999999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13.595329718744253
2022,-2.4492935982947064e-16,1.0,102,90000000.0,7.159907407407407,7.35,7.25,7.35,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,20.058397104103864
2022,-0.8660254037844386,0.5000000000000001,148,20000000.0,7.733796296296297,7.8,7.8,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19.665753756553094
2022,1.2246467991473532e-16,-1.0,148,1448864.0,7.716666666666667,7.8,7.8,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.062175946591523
2022,-0.5000000000000004,0.8660254037844384,148,115700000.0,7.6819444444444445,7.8,7.8,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.100677016296444
2012,-2.4492935982947064e-16,1.0,169,200000000.0,7.431296296296296,7.666666666666667,7.733333333333333,7.666666666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.144767055531368
2017,-0.4999999999999997,-0.8660254037844388,106,150000000.0,6.971891534391534,8.266666666666667,6.95952380952381,8.266666666666667,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.847582463876986
2022,1.0,6.123233995736766e-17,187,69000000.0,7.6000000000000005,7.8,7.8,7.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95255977691619
2015,0.49999999999999994,0.8660254037844387,168,62000000.0,7.251098484848484,8.15,7.8,8.15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.466598859986732
2017,-2.4492935982947064e-16,1.0,132,3500000.0,7.520833333333333,7.0,7.8,7.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.337784839942504
