ano_lancamento,mes_seno,mes_cos,duracao,orcamento,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,categoria_lucro
2016,1.0,6.123233995736766e-17,108,150000000.0,7.494097222222221,7.633333333333333,8.0,7.7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Lucro alto
2016,0.49999999999999994,0.8660254037844387,106,4000000.0,7.611111111111111,7.5,8.0,7.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro médio
2020,-2.4492935982947064e-16,1.0,100,150000000.0,7.601507936507937,8.025,8.0,8.025,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Prejuízo
2016,0.49999999999999994,0.8660254037844387,118,12000000.0,7.53425925925926,6.95,8.0,6.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2014,-1.0,-1.8369701987210297e-16,139,4900000.0,7.457222222222222,7.4,8.0,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2020,-2.4492935982947064e-16,1.0,103,11250000.0,7.806805555555556,8.0,8.0,8.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Prejuízo
2011,-1.0,-1.8369701987210297e-16,125,2200000.0,7.977777777777778,8.0,8.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2013,1.2246467991473532e-16,-1.0,137,49300000.0,7.966666666666667,8.0,8.0,8.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Prejuízo
2014,0.8660254037844386,0.5000000000000001,93,16311197.0,7.898124999999999,8.0,8.0,8.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Prejuízo
2018,-0.8660254037844386,0.5000000000000001,109,8234023.8,7.825,0.0,8.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Lucro médio
2023,-0.4999999999999997,-0.8660254037844388,163,290000000.0,7.204516369047619,7.5,7.275,7.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Prejuízo
2016,-0.5000000000000004,0.8660254037844384,116,47000000.0,7.529629629629631,7.890000000000001,7.9,7.890000000000001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lucro alto
